en,num,tr
you,28787591,Sen
i,27086011,Ben
the,22761659,the
to,17099834,ile
a,14484562,A
s,14291013,S
it,13631703,BT
and,10572938,Ve
that,10203742,O
t,9628970,T
of,8915110,ile ilgili
is,7400675,öyle
in,7337058,içinde
what,6900164,Ne
we,6755687,Biz
me,6444985,Ben
this,5739788,Bu
he,5516364,O
for,5174060,için
my,4938948,Benim
on,4821861,Açık
have,4764010,sahip olmak
your,4610945,senin
do,4419883,Yapmak
was,4401531,öyleydi
m,4386306,M
no,4374975,HAYIR
not,4262273,Olumsuz
be,4210868,olmak
are,4203821,öyle
don,4158644,giymek
re,4059719,tekrar
know,3892394,Bilmek
can,3826118,olabilmek
with,3806977,ile
but,3631462,Ancak
all,3544700,Tümü
so,3434152,Bu yüzden
just,3334392,Sadece
there,3148528,Orası
here,3138591,Burada
they,3060204,Onlar
like,2983027,beğenmek
ll,2913428,LL
get,2883193,elde etmek
she,2778359,o
go,2738504,Gitmek
if,2630800,eğer
right,2576821,Sağ
out,2510010,dışarı
about,2487348,hakkında
up,2459855,yukarı
at,2431398,en
him,2431059,o
now,2298830,Şimdi
oh,2298308,ah
one,2263956,bir
come,2203919,Gelmek
well,2159909,Peki
her,2154982,o
how,2140365,Nasıl
yeah,2000641,Evet
ve,1991871,ve
will,1969807,irade
got,1968389,var
want,1950845,istek
think,1839473,düşünmek
as,1792220,gibi
see,1781493,Görmek
did,1742764,yaptım
good,1741730,iyi
who,1734491,DSÖ
why,1722797,Neden
from,1709582,itibaren
let,1705262,izin vermek
his,1666361,onun
yes,1634050,Evet
when,1531731,Ne zaman
going,1520767,giden
time,1453708,zaman
an,1449181,BİR
okay,1428884,Tamam
back,1405024,geri
look,1348467,Bakmak
us,1346903,biz
would,1340070,istemek
them,1327509,onlara
where,1322226,Neresi
were,1315964,vardı
take,1312232,almak
then,1275502,Daha sonra
had,1274537,vardı
or,1267646,veya
been,1265150,oldu
our,1191941,bizim
gonna,1188190,yapacağım
tell,1176290,söylemek
really,1174710,Gerçekten
man,1173588,Adam
some,1166914,bazı
say,1153915,söylemek
hey,1149292,Hey
could,1111837,olabilir
d,1109205,D
didn,1100643,yapmadı
by,1090424,ile
need,1040131,ihtiyaç
something,1038638,bir şey
has,1035310,sahip olmak
too,1022558,fazla
more,1010390,Daha
way,1000182,yol
down,978966,aşağı
make,963885,yapmak
very,945653,çok
never,930831,Asla
only,887363,sadece
people,885915,insanlar
over,880841,üzerinde
because,880112,Çünkü
little,869522,biraz
please,842120,Lütfen
love,830324,Aşk
should,823711,yapmalı
mean,821275,Anlam
said,818878,söz konusu
sorry,818019,Üzgünüm
give,811919,vermek
off,799351,kapalı
am,785830,ben
thank,773577,teşekkür etmek
any,767968,herhangi
two,764564,iki
even,744544,eşit
much,738599,fazla
doing,732145,yapmak
sure,709390,Elbette
thing,697528,şey
these,683128,bunlar
help,666286,yardım
first,656387,Birinci
into,655747,içine
anything,640206,herhangi bir şey
still,639540,Hala
find,626520,bulmak
life,624596,hayat
nothing,622415,Hiçbir şey
sir,619500,Sayın
day,617674,gün
god,611924,Tanrı
work,611677,iş
their,601171,onların
uh,592651,ah
again,590019,Tekrar
maybe,581087,Belki
must,580931,mutlak
before,578606,önce
other,577197,diğer
wait,574752,Beklemek
stop,574016,durmak
call,572997,Arama
after,572761,sonrasında
won,571621,kazandı
talk,567036,konuşmak
away,564268,uzak
than,561014,-dan/-den
thought,558542,düşünce
home,556894,Ev
night,556318,gece
put,552246,koymak
great,545768,Harika
those,528404,onlar
last,527395,son
better,520328,daha iyi
everything,519795,her şey
told,517951,söylenmiş
mr.,515685,Bay
new,508486,yeni
things,503642,şeyler
always,503417,Her zaman
keep,498392,tutmak
long,496267,uzun
years,481860,yıllar
leave,478282,ayrılmak
does,478174,yapmak
money,471643,para
around,471463,etrafında
doesn,471037,yapmaz
name,455543,isim
place,444863,yer
ever,444088,durmadan
feel,444014,hissetmek
guys,442241,Çocuklar
father,437537,baba
guy,435832,adam
made,433900,yapılmış
old,431911,eskimiş
isn,429536,öyle
which,422483,Hangi
big,417218,büyük
lot,411660,pay
done,408760,Tamamlandı
hello,405534,Merhaba
nice,405497,Güzel
believe,403874,inanmak
girl,402557,kız
someone,401162,birisi
fine,400530,iyi
thanks,395690,teşekkürler
wanted,392510,aranan
kind,392242,tür
coming,389949,gelen
house,388585,ev
every,388520,Her
ok,388338,Tamam
through,388127,başından sonuna kadar
being,386528,yapı
course,381816,kurs
stay,378726,kalmak
left,378587,sol
dad,378540,baba
enough,376973,yeterli
happened,375703,olmuş
came,374486,gelmek
may,373526,mayıs
mother,372846,anne
wrong,370949,yanlış
world,370620,dünya
bad,369996,kötü
might,367145,belki
three,366626,üç
today,366395,Bugün
listen,365791,Dinlemek
another,365421,bir diğer
understand,365210,anlamak
hear,360665,duymak
remember,358291,Unutma
ask,354323,sormak
own,352542,sahip olmak
same,348167,Aynı
show,347408,göstermek
else,340756,başka
kill,339509,öldürmek
talking,337629,konuşuyor
found,337382,kurmak
next,335573,Sonraki
getting,331186,edinme
care,330956,bakım
car,330261,araba
looking,326550,bakıyor
son,325997,oğul
try,325748,denemek
woman,324673,kadın
went,321824,gitmiş
hi,320316,MERHABA
dead,317589,ölü
many,314850,birçok
mind,312927,akıl
wasn,312240,öyleydi
friend,308204,arkadaş
best,307071,en iyi
mom,305139,anne
hell,304275,cehennem
morning,303550,Sabah
trying,303288,denemek
boy,302508,erkek çocuk
together,302404,birlikte
yourself,302013,kendin
job,298911,iş
saw,297985,testere
family,294543,aile
real,294536,gerçek
without,290509,olmadan
baby,290496,Bebek
room,290206,oda
wouldn,288422,olur
already,287837,çoktan
move,283807,taşınmak
most,283006,en
seen,282420,görülen
live,281046,canlı
miss,280930,kayıp
actually,279595,Aslında
huh,274656,Ha
shit,273312,bok
both,270720,ikisi birden
heard,269851,duyulmuş
once,269704,bir kere
ready,267268,hazır
head,266844,KAFA
called,264588,isminde
used,263566,kullanılmış
idea,263097,fikir
knew,262988,biliyordum
hold,262367,tutmak
happy,262141,mutlu
door,261118,kapı
such,261104,çok
fuck,260121,Kahretsin
brother,259877,Erkek kardeş
also,259803,Ayrıca
pretty,259500,tatlı
bit,258929,biraz
took,258808,alınmış
haven,258463,sığınak
yet,257947,henüz
men,257319,erkekler
whole,257109,tüm
start,256417,başlangıç
use,256079,kullanmak
while,255970,sırasında
since,254427,o zamandan beri
wife,254038,eş
days,253171,günler
guess,250320,tahmin etmek
tomorrow,248729,Yarın
matter,247812,konu
meet,247466,tanışmak
bring,247343,getirmek
tonight,246514,bu akşam
everyone,246032,herkes
run,244200,koşmak
wanna,243109,istiyorum
hard,242871,zor
ah,242456,Ah
alone,240475,yalnız
myself,240460,kendim
school,240176,okul
gone,240082,gitmiş
um,238853,hım
end,237387,son
saying,236600,söyleyerek
phone,235246,telefon
play,233865,oynamak
looks,233814,görünüyor
couldn,233368,yapamadım
fucking,232845,kahrolası
problem,232325,sorun
few,231375,bir kaç
friends,230464,Arkadaşlar
gotta,230351,lazım
ago,229751,evvel
open,229669,açık
anyone,228332,herhangi biri
killed,228297,öldürüldü
hope,226993,umut
face,225482,yüz
until,225171,değin
lost,222398,kayıp
police,221380,polis
excuse,219855,mazeret
turn,218563,dönüş
business,215855,işletme
case,215274,dava
wants,215149,istiyor
says,215090,diyor
TRUE,214773,DOĞRU
die,214062,ölmek
heart,213914,kalp
soon,213279,yakında
each,211943,her biri
worry,211329,endişelenmek
later,208878,Daha sonra
year,208705,yıl
watch,207949,kol saati
music,207205,müzik
hand,206247,el
having,206106,sahip olmak
probably,202736,muhtemelen
beautiful,200811,Güzel
doctor,198424,doktor
sit,198149,oturmak
eat,197654,yemek yemek
thinking,195875,düşünme
young,194810,genç
second,193687,ikinci
working,193172,çalışma
water,193014,su
person,192652,kişi
part,192248,parça
kids,192050,çocuklar
late,191989,geç
stuff,190629,şey
exactly,189513,Kesinlikle
under,189347,altında
death,189000,ölüm
minute,188958,dakika
pay,188822,ödemek
crazy,188767,deli
forget,188628,unutmak
everybody,188532,herkes
kid,187858,çocuk
change,186962,değiştirmek
gave,186445,verilmiş
happen,186041,olmak
damn,184228,lanet etmek
five,183626,beş
drink,182580,içmek
far,182287,uzak
knows,181663,biliyor
its,180594,onun
whatever,180082,Her neyse
eyes,179260,gözler
shut,178378,kapat
aren,178286,değil mi
hit,177770,vurmak
taking,177667,almak
easy,177337,kolay
times,176522,kez
check,176507,kontrol etmek
hands,176291,eller
minutes,175091,dakika
deal,174929,anlaşmak
different,174657,farklı
means,174311,araç
point,174205,nokta
inside,174081,içeri
makes,172281,yapar
asked,171740,sordu
somebody,171596,birisi
mine,170636,bana ait
making,169037,yapma
body,168798,vücut
afraid,168774,korkmuş
sleep,168103,uyumak
chance,167981,şans
dear,167351,Sayın
quite,166980,epeyce
four,166957,dört
anyway,166702,Neyse
close,166677,kapalı
ain,166551,değil
party,166137,parti
fun,165693,eğlence
against,165033,aykırı
word,164938,kelime
comes,164503,geliyor
important,164386,önemli
set,164165,ayarlamak
shall,164162,olacak
story,164040,hikaye
number,163259,sayı
daughter,163071,kız çocuğu
least,162905,en az
waiting,162571,beklemek
hurt,161421,acıtmak
wish,160204,dilek
moment,159995,an
fight,159911,kavga
week,159444,hafta
husband,159394,koca
girls,159061,kızlar
rest,158976,dinlenmek
married,157817,evli
fire,157532,ateş
game,157501,oyun
nobody,157014,hiç kimse
mr,156641,bay
children,156181,çocuklar
side,155667,taraf
stand,155391,durmak
read,154667,Okumak
though,154479,Yine de
cut,154407,kesmek
started,154345,başladı
sister,154095,kız kardeş
supposed,153117,sözde
between,152520,arasında
child,151864,çocuk
goes,151195,gitmek
hours,151156,saat
speak,150927,konuşmak
women,150803,kadınlar
behind,148469,arka
almost,148405,neredeyse
truth,148389,gerçek
blood,147913,kan
able,147205,hünerli
lady,147121,bayan
anymore,146903,artık değil
playing,146615,oynuyor
gets,146064,alır
shot,144772,atış
reason,144399,sebep
trouble,143235,bela
break,143107,kırmak
war,142825,savaş
city,142573,şehir
walk,142055,yürümek
town,141835,şehir
trust,141327,güven
dr.,141231,Dr.
met,141208,tanıştım
office,141140,ofis
question,140970,soru
brought,140661,getirilmiş
yours,140553,senin
welcome,140327,Hoş geldin
high,140078,yüksek
wow,139593,Vay
couple,138996,çift
half,138527,yarım
died,138432,ölü
cool,138139,Serin
free,137598,özgür
either,137448,herhangi biri
seems,136699,öyle gibi
power,136611,güç
whoa,136564,vay be
bye,136276,güle güle
buy,136137,satın almak
telling,136109,anlatıyor
honey,135631,Bal
tried,135401,sınanmış
front,135341,ön
team,134358,takım
answer,134088,cevap
gun,133072,silah
boys,132594,erkek çocuklar
line,132433,astar
send,131999,Göndermek
news,131599,haberler
stupid,131497,aptal
bed,131445,yatak
hurry,130182,acele etmek
full,129735,tam dolu
months,129732,aylar
save,129390,kaydetmek
sometimes,128779,Bazen
become,128716,haline gelmek
along,128220,birlikte
hate,128153,nefret
food,127657,yiyecek
outside,127251,dıştan
light,126657,ışık
l,126518,ben
needs,126398,ihtiyaçlar
dog,125769,köpek
country,125731,ülke
clear,125730,temizlemek
order,125446,emir
em,125033,onları
fact,124995,hakikat
lord,124880,efendim
captain,124874,kaptan
six,124087,altı
hot,123994,sıcak
funny,123924,eğlenceli
black,123718,siyah
mrs.,123530,bayan.
alive,122833,canlı
pick,122698,seçmek
feeling,122065,his
living,121552,yaşamak
cause,121264,neden
ahead,120295,ilerde
lose,118712,kaybetmek
king,118230,kral
plan,118129,planı
dinner,117970,akşam yemeği
sighs,117410,iç çeker
sort,117267,düzenlemek
leaving,117050,ayrılmak
shouldn,117029,yapmalı
running,116973,koşma
boss,116736,patron
alright,116629,Tamam
promise,115908,söz
taken,115236,alınmış
safe,114104,güvenli
ma,114026,anne
book,113963,kitap
sent,113959,gönderilmiş
white,112881,beyaz
hour,112782,saat
anybody,112582,herhangi biri
small,112316,küçük
perfect,112229,mükemmel
cause,112193,neden
lives,110583,yaşıyor
special,110344,özel
parents,110206,ebeveynler
s,110199,S
john,109966,John
himself,109748,kendisi
perhaps,109240,belki
sounds,109140,sesler
serious,108774,cidden
sick,108596,hasta
company,108073,şirket
ha,107974,Ha
scared,107906,korkmuş
uncle,107826,amca
poor,107444,fakir
red,106589,kırmızı
past,106439,geçmiş
earth,106394,toprak
possible,106080,olası
shoot,106067,film çekmek
touch,105846,dokunmak
sound,105298,ses
top,105282,tepe
ass,105009,eşek
laughs,104913,gülüyor
cannot,103913,yapamamak
asking,102974,soruyorum
win,102956,kazanç
glad,102848,memnun
control,102782,kontrol
hmm,102607,Hmm
human,102595,insan
drive,102436,sürmek
hair,101852,saç
jack,101666,kriko
bitch,101302,orospu
luck,101228,şans
murder,101133,cinayet
happens,100847,olur
air,100137,hava
ten,100133,on
daddy,100005,babacığım
finally,99904,Sonunda
chuckles,99607,kıkırdamalar
fast,99084,hızlı
cold,99032,soğuk
seem,98575,gözükmek
laughing,98420,gülüyor
words,98242,kelimeler
hospital,98076,hastane
street,98007,sokak
hang,97778,asmak
dance,97339,dans
meeting,97328,toplantı
till,97044,kadar
others,96631,diğerleri
catch,96609,yakalamak
follow,96529,takip etmek
sense,96442,algı
sex,96431,seks
lie,95930,yalan
evening,95321,akşam
master,95131,usta
known,95125,bilinen
dream,95089,rüya
write,94964,yazmak
million,94514,milyon
voice,94104,ses
sweet,94057,tatlı
rather,94057,yerine
felt,93826,keçe
sign,92512,imza
lucky,92377,şanslı
somewhere,92265,bir yerde
bet,91573,bahis
o,91243,O
jesus,91143,İsa
longer,91035,daha uzun
calling,90868,aramak
worked,90771,çalıştı
quiet,90552,sessizlik
looked,90441,baktım
less,90011,az
pull,89880,çekmek
beat,89787,vurmak
careful,89667,dikkatli olmak
coffee,89650,Kahve
return,89451,geri dönmek
secret,89236,gizli
weeks,88925,haftalar
weren,88427,değildi
date,88407,tarih
seeing,88192,görmek
fall,87762,düşmek
given,87738,verildi
ooh,87683,ah
fault,87420,arıza
straight,87378,dümdüz
takes,86959,almak
song,86877,şarkı
future,86832,gelecek
gentlemen,86660,beyler
loved,86138,sevilen
changed,86133,değişti
road,85751,yol
calm,85638,sakinlik
wonderful,85617,müthiş
mad,85366,kızgın
turned,85279,döndü
drop,85186,düşürmek
ladies,85029,bayanlar
learn,84936,öğrenmek
step,84882,adım
absolutely,84856,kesinlikle
early,84836,erken
explain,84368,açıklamak
clean,84238,temiz
piece,84224,parça
yesterday,83823,Dün
throw,83679,fırlatmak
picture,83461,resim
land,83422,kara
feet,83295,ayak
wonder,82903,merak etmek
questions,82887,sorular
speaking,82769,konuşuyorum
worth,82559,değer
darling,82240,Canım
dude,82190,dostum
giving,82085,vermek
president,81980,başkan
eye,81953,göz
quick,81548,hızlı
moving,81193,hareketli
figure,81048,figür
state,80818,durum
strong,80501,güçlü
sam,80423,Sam
none,80315,hiçbiri
amazing,80267,inanılmaz
ones,79546,olanlar
works,79323,çalışır
act,79020,davranmak
needed,78920,gerekli
weird,78317,garip
law,78264,kanun
worried,78083,endişeli
report,77824,rapor
goodbye,77514,Güle güle
missing,77326,eksik
choice,77197,seçenek
happening,77052,oluyor
chief,76951,şef
wedding,76940,düğün
strange,76863,garip
general,76816,genel
pain,76799,ağrı
am,76751,ben
kidding,76744,şaka yapmak
decided,76683,karar verilmiş
ya,76658,evet
pass,76635,geçmek
tired,76540,yorgun
class,76489,sınıf
officer,76015,memur
kept,75930,tutulmuş
wake,75776,uyanmak
worse,75595,daha kötüsü
busy,75557,Meşgul
eh,75178,eh
mistake,74957,hata
kiss,74790,öpücük
court,74580,mahkeme
building,74492,bina
finish,74299,sona ermek
during,74298,sırasında
age,74262,yaş
ship,74224,gemi
caught,74060,yakalanmış
marry,73938,evlenmek
meant,73929,anlamına gelen
sell,73802,satmak
dark,73770,karanlık
watching,73700,izliyor
system,73678,sistem
suppose,73465,sanmak
evidence,73113,kanıt
movie,73070,film
ride,73070,sürmek
t,72881,T
completely,72777,tamamen
mouth,72733,ağız
totally,72478,tamamen
birthday,72140,doğum günü
tv,72054,TV
forgive,71915,affetmek
born,71906,doğmak
imagine,71873,hayal etmek
information,71840,bilgi
instead,71571,yerine
definitely,71524,kesinlikle
security,71503,güvenlik
certainly,71435,kesinlikle
film,71407,film
month,71163,ay
lying,71098,uzanmak
unless,70979,meğer ki
train,70974,tren
seven,70968,Yedi
wear,70955,giymek
clothes,70929,kıyafetler
michael,70741,Michael
hotel,70659,otel
christmas,70624,noel
attack,70583,saldırı
hasn,70449,hasan
round,70043,yuvarlak
expect,69614,beklemek
sing,69575,şarkı söylemek
terrible,69499,korkunç
george,69441,George
bag,69186,çanta
history,69119,tarih
blue,68839,mavi
near,68790,yakın
broke,68629,parasız
station,68571,istasyon
seriously,68524,Cidden
forever,68510,sonsuza kadar
david,68505,David
frank,68472,açık sözlü
except,68440,hariç
thinks,68354,düşünüyor
message,68305,mesaj
entire,68282,bütün
joe,68244,Joe
table,67702,masa
talked,67666,konuştu
across,67595,karşısında
rock,67361,kaynak
lovely,67236,sevimli
handle,67089,halletmek
middle,66734,orta
buddy,66718,ahbap
paid,66526,paralı
protect,66508,korumak
using,66503,kullanarak
floor,66456,zemin
ran,66177,koştu
swear,66157,küfür
spend,66119,harcamak
situation,66029,durum
ring,66018,yüzük
anywhere,65981,herhangi bir yer
dangerous,65974,tehlikeli
bill,65959,fatura
york,65880,york
army,65795,ordu
lead,65756,yol göstermek
bought,65752,satın alınmış
finished,65659,bitti
fair,65474,adil
sun,65448,güneş
letter,65448,mektup
fool,65432,aptal
attention,65421,dikkat
club,65275,kulüp
simple,65090,basit
interesting,65082,ilginç
space,64991,uzay
test,64969,test
box,64788,kutu
group,64761,grup
single,64614,Bekar
sitting,64521,oturma
marriage,64465,evlilik
join,64456,katılmak
fear,64352,korku
d,64304,D
peace,64262,barış
forgot,64169,unutmuş olmak
force,63737,güç
short,63714,kısa
normal,63676,normal
charlie,63672,Charlie
present,63307,Sunmak
enjoy,63294,Eğlence
mike,63219,mikrofon
crime,63084,suç
horse,62923,atış
ground,62860,zemin
american,62835,Amerikan
count,62763,saymak
area,62755,alan
charge,62746,şarj
honor,62722,onur
lunch,62582,öğle yemeği
miles,62523,mil
radio,62502,radyo
idiot,62357,salak
ball,62325,top
surprise,62170,sürpriz
paper,62166,kağıt
key,62153,anahtar
boat,62148,bot
quickly,62072,hızlıca
gold,61935,altın
bar,61927,çubuk
fish,61813,balık
mark,61805,işaret
tom,61785,tom
wearing,61749,Giyiyor
crying,61698,ağlamak
accident,61671,kaza
government,61646,devlet
eight,61400,sekiz
fell,61371,düşmüş
cover,61052,kapak
certain,61050,kesin
interested,61029,ilgili
deep,60938,derin
star,60903,yıldız
sea,60812,deniz
agree,60716,kabul etmek
problems,60633,sorunlar
detective,60633,dedektif
prison,60581,hapishane
major,60560,ana
stick,60548,sopa
offer,60444,teklif
difficult,60404,zor
smart,60397,akıllı
personal,60381,kişisel
record,60360,kayıt
stopped,60200,durduruldu
hide,60133,saklamak
whether,59993,ikisinden biri
bank,59962,banka
trip,59906,seyahat
relax,59715,rahatlamak
america,59703,Amerika
public,59687,halk
list,59557,liste
afternoon,59466,öğleden sonra
brain,59464,beyin
fix,59349,düzeltmek
bastard,59332,piç
proud,59309,gurur duymak
tea,59277,çay
service,59277,hizmet
screaming,59151,çığlık
forward,59064,ileri
angry,58748,sinirli
park,58713,park
soul,58677,ruh
fighting,58657,kavga
peter,58654,Peter
rich,58651,zengin
agent,58608,ajan
blow,58531,üflemek
paul,58529,Paul
dress,58429,elbise
mary,58366,Mary
missed,58324,kaçırıldı
scene,58017,sahne
killing,57890,öldürme
standing,57866,ayakta
saved,57667,kaydedildi
mm,57659,mm
respect,57647,Saygı
killer,57555,katil
ice,57545,buz
mess,57542,karışıklık
tough,57486,zorlu
feels,57388,hissediyor
church,57254,kilise
sad,57179,üzgün
cell,57033,hücre
drunk,56919,sarhoş
share,56854,paylaşmak
camera,56757,kamera
mm-hmm,56720,mm-hmm
within,56709,içinde
card,56659,kart
fly,56595,uçmak
ben,56502,ben
girlfriend,56475,kız arkadaş
laugh,56460,gülmek
smell,56399,koku
broken,56391,kırık
mum,56281,anne
honest,56234,dürüst
often,55998,sıklıkla
starting,55979,başlangıç
calls,55940,aramalar
y,55842,sen
spent,55836,harcanan
third,55750,üçüncü
english,55677,İngilizce
visit,55638,ziyaret etmek
mama,55372,anne
judge,55336,yargıç
window,55285,pencere
hungry,55259,aç
dare,55131,cesaret
relationship,55128,ilişki
moved,55096,etkilenmiş
prove,55079,kanıtlamak
private,54978,özel
wall,54813,duvar
seat,54615,koltuk
i-i,54460,ben-ben
position,54449,konum
lieutenant,54321,teğmen
realize,54306,fark etmek
lt,54305,lt
especially,54148,özellikle
machine,54140,makine
walking,54115,yürüme
art,54096,sanat
pleasure,54085,zevk